time,kwh,temperature,date,hours,day,Day,occ,year,month
1/1/2015 0:00,100.404,15,1/1/2015,0,Thursday,weekday,no,2015,1
1/1/2015 0:30,83.601,15,1/1/2015,30,Thursday,weekday,no,2015,1
1/1/2015 1:00,92.061,15,1/1/2015,60,Thursday,weekday,no,2015,1
1/1/2015 1:30,84.42,15,1/1/2015,90,Thursday,weekday,no,2015,1
1/1/2015 2:00,94.572,17,1/1/2015,120,Thursday,weekday,no,2015,1
1/1/2015 2:30,100.404,17,1/1/2015,150,Thursday,weekday,no,2015,1
1/1/2015 3:00,103.554,20,1/1/2015,180,Thursday,weekday,no,2015,1
1/1/2015 3:30,98.001,20,1/1/2015,210,Thursday,weekday,no,2015,1
1/1/2015 4:00,86.661,23,1/1/2015,240,Thursday,weekday,no,2015,1
1/1/2015 4:30,96.111,23,1/1/2015,270,Thursday,weekday,no,2015,1
1/1/2015 5:00,102.339,25,1/1/2015,300,Thursday,weekday,yes,2015,1
1/1/2015 5:30,108.747,25,1/1/2015,330,Thursday,weekday,yes,2015,1
1/1/2015 6:00,98.973,27,1/1/2015,360,Thursday,weekday,yes,2015,1
1/1/2015 6:30,102.474,27,1/1/2015,390,Thursday,weekday,yes,2015,1
1/1/2015 7:00,116.856,29,1/1/2015,420,Thursday,weekday,yes,2015,1
1/1/2015 7:30,117.612,29,1/1/2015,450,Thursday,weekday,yes,2015,1
1/1/2015 8:00,101.952,31,1/1/2015,480,Thursday,weekday,yes,2015,1
1/1/2015 8:30,78.399,31,1/1/2015,510,Thursday,weekday,yes,2015,1
1/1/2015 9:00,78.354,30,1/1/2015,540,Thursday,weekday,yes,2015,1
1/1/2015 9:30,95.823,30,1/1/2015,570,Thursday,weekday,yes,2015,1
1/1/2015 10:00,84.816,29,1/1/2015,600,Thursday,weekday,yes,2015,1
1/1/2015 10:30,65.565,29,1/1/2015,630,Thursday,weekday,yes,2015,1
1/1/2015 11:00,74.097,30,1/1/2015,660,Thursday,weekday,yes,2015,1
1/1/2015 11:30,65.898,30,1/1/2015,690,Thursday,weekday,yes,2015,1
1/1/2015 12:00,59.796,29,1/1/2015,720,Thursday,weekday,yes,2015,1
1/1/2015 12:30,53.658,29,1/1/2015,750,Thursday,weekday,yes,2015,1
1/1/2015 13:00,66.825,28,1/1/2015,780,Thursday,weekday,yes,2015,1
1/1/2015 13:30,57.933,28,1/1/2015,810,Thursday,weekday,yes,2015,1
1/1/2015 14:00,51.237,27,1/1/2015,840,Thursday,weekday,yes,2015,1
1/1/2015 14:30,60.183,27,1/1/2015,870,Thursday,weekday,yes,2015,1
1/1/2015 15:00,65.655,26,1/1/2015,900,Thursday,weekday,yes,2015,1
1/1/2015 15:30,41.202,26,1/1/2015,930,Thursday,weekday,yes,2015,1
1/1/2015 16:00,51.426,24,1/1/2015,960,Thursday,weekday,yes,2015,1
1/1/2015 16:30,86.202,24,1/1/2015,990,Thursday,weekday,yes,2015,1
1/1/2015 17:00,68.517,23,1/1/2015,1020,Thursday,weekday,yes,2015,1
1/1/2015 17:30,65.034,23,1/1/2015,1050,Thursday,weekday,yes,2015,1
1/1/2015 18:00,63.576,22,1/1/2015,1080,Thursday,weekday,yes,2015,1
1/1/2015 18:30,84.843,22,1/1/2015,1110,Thursday,weekday,no,2015,1
1/1/2015 19:00,64.341,21,1/1/2015,1140,Thursday,weekday,no,2015,1
1/1/2015 19:30,67.203,21,1/1/2015,1170,Thursday,weekday,no,2015,1
1/1/2015 20:00,78.669,20,1/1/2015,1200,Thursday,weekday,no,2015,1
1/1/2015 20:30,93.888,20,1/1/2015,1230,Thursday,weekday,no,2015,1
1/1/2015 21:00,75.141,19,1/1/2015,1260,Thursday,weekday,no,2015,1
1/1/2015 21:30,76.401,19,1/1/2015,1290,Thursday,weekday,no,2015,1
1/1/2015 22:00,85.662,19,1/1/2015,1320,Thursday,weekday,no,2015,1
1/1/2015 22:30,84.258,19,1/1/2015,1350,Thursday,weekday,no,2015,1
1/1/2015 23:00,81.279,19,1/1/2015,1380,Thursday,weekday,no,2015,1
1/1/2015 23:30,95.211,19,1/1/2015,1410,Thursday,weekday,no,2015,1
1/2/2015 0:00,99.774,18,1/2/2015,0,Friday,weekday,no,2015,1
1/2/2015 0:30,89.604,18,1/2/2015,30,Friday,weekday,no,2015,1
1/2/2015 1:00,82.269,18,1/2/2015,60,Friday,weekday,no,2015,1
1/2/2015 1:30,86.553,18,1/2/2015,90,Friday,weekday,no,2015,1
1/2/2015 2:00,99.657,24,1/2/2015,120,Friday,weekday,no,2015,1
1/2/2015 2:30,86.697,24,1/2/2015,150,Friday,weekday,no,2015,1
1/2/2015 3:00,87.057,27,1/2/2015,180,Friday,weekday,no,2015,1
1/2/2015 3:30,96.3,27,1/2/2015,210,Friday,weekday,no,2015,1
1/2/2015 4:00,99.063,29,1/2/2015,240,Friday,weekday,no,2015,1
1/2/2015 4:30,88.74,29,1/2/2015,270,Friday,weekday,no,2015,1
1/2/2015 5:00,101.142,31,1/2/2015,300,Friday,weekday,yes,2015,1
1/2/2015 5:30,136.548,31,1/2/2015,330,Friday,weekday,yes,2015,1
1/2/2015 6:00,380.124,33,1/2/2015,360,Friday,weekday,yes,2015,1
1/2/2015 6:30,367.803,33,1/2/2015,390,Friday,weekday,yes,2015,1
1/2/2015 7:00,364.977,34,1/2/2015,420,Friday,weekday,yes,2015,1
1/2/2015 7:30,358.353,34,1/2/2015,450,Friday,weekday,yes,2015,1
1/2/2015 8:00,348.858,33,1/2/2015,480,Friday,weekday,yes,2015,1
1/2/2015 8:30,335.772,33,1/2/2015,510,Friday,weekday,yes,2015,1
1/2/2015 9:00,326.286,32,1/2/2015,540,Friday,weekday,yes,2015,1
1/2/2015 9:30,283.734,32,1/2/2015,570,Friday,weekday,yes,2015,1
1/2/2015 10:00,270.9,30,1/2/2015,600,Friday,weekday,yes,2015,1
1/2/2015 10:30,256.509,30,1/2/2015,630,Friday,weekday,yes,2015,1
1/2/2015 11:00,248.787,29,1/2/2015,660,Friday,weekday,yes,2015,1
1/2/2015 11:30,236.727,29,1/2/2015,690,Friday,weekday,yes,2015,1
1/2/2015 12:00,239.274,29,1/2/2015,720,Friday,weekday,yes,2015,1
1/2/2015 12:30,233.523,29,1/2/2015,750,Friday,weekday,yes,2015,1
1/2/2015 13:00,234.252,29,1/2/2015,780,Friday,weekday,yes,2015,1
1/2/2015 13:30,221.688,29,1/2/2015,810,Friday,weekday,yes,2015,1
1/2/2015 14:00,239.418,30,1/2/2015,840,Friday,weekday,yes,2015,1
1/2/2015 14:30,240.543,30,1/2/2015,870,Friday,weekday,yes,2015,1
1/2/2015 15:00,246.474,29,1/2/2015,900,Friday,weekday,yes,2015,1
1/2/2015 15:30,259.119,29,1/2/2015,930,Friday,weekday,yes,2015,1
1/2/2015 16:00,264.339,29,1/2/2015,960,Friday,weekday,yes,2015,1
1/2/2015 16:30,271.377,29,1/2/2015,990,Friday,weekday,yes,2015,1
1/2/2015 17:00,272.277,30,1/2/2015,1020,Friday,weekday,yes,2015,1
1/2/2015 17:30,272.493,30,1/2/2015,1050,Friday,weekday,yes,2015,1
1/2/2015 18:00,64.728,31,1/2/2015,1080,Friday,weekday,yes,2015,1
1/2/2015 18:30,21.06,31,1/2/2015,1110,Friday,weekday,no,2015,1
1/2/2015 19:00,24.381,31,1/2/2015,1140,Friday,weekday,no,2015,1
1/2/2015 19:30,23.769,31,1/2/2015,1170,Friday,weekday,no,2015,1
1/2/2015 20:00,24.183,30,1/2/2015,1200,Friday,weekday,no,2015,1
1/2/2015 20:30,24.156,30,1/2/2015,1230,Friday,weekday,no,2015,1
1/2/2015 21:00,34.308,30,1/2/2015,1260,Friday,weekday,no,2015,1
1/2/2015 21:30,32.886,30,1/2/2015,1290,Friday,weekday,no,2015,1
1/2/2015 22:00,27.603,31,1/2/2015,1320,Friday,weekday,no,2015,1
1/2/2015 22:30,31.635,31,1/2/2015,1350,Friday,weekday,no,2015,1
1/2/2015 23:00,26.973,31,1/2/2015,1380,Friday,weekday,no,2015,1
1/2/2015 23:30,45.855,31,1/2/2015,1410,Friday,weekday,no,2015,1
1/3/2015 0:00,58.689,32,1/3/2015,0,Saturday,weekend,no,2015,1
1/3/2015 0:30,27.891,32,1/3/2015,30,Saturday,weekend,no,2015,1
1/3/2015 1:00,37.152,32,1/3/2015,60,Saturday,weekend,no,2015,1
1/3/2015 1:30,25.785,32,1/3/2015,90,Saturday,weekend,no,2015,1
1/3/2015 2:00,46.467,33,1/3/2015,120,Saturday,weekend,no,2015,1
1/3/2015 2:30,32.679,33,1/3/2015,150,Saturday,weekend,no,2015,1
1/3/2015 3:00,33.849,33,1/3/2015,180,Saturday,weekend,no,2015,1
1/3/2015 3:30,37.233,33,1/3/2015,210,Saturday,weekend,no,2015,1
1/3/2015 4:00,49.473,33,1/3/2015,240,Saturday,weekend,no,2015,1
1/3/2015 4:30,43.776,33,1/3/2015,270,Saturday,weekend,no,2015,1
1/3/2015 5:00,32.094,33,1/3/2015,300,Saturday,weekend,yes,2015,1
1/3/2015 5:30,44.964,33,1/3/2015,330,Saturday,weekend,yes,2015,1
1/3/2015 6:00,58.725,33,1/3/2015,360,Saturday,weekend,yes,2015,1
1/3/2015 6:30,49.338,33,1/3/2015,390,Saturday,weekend,yes,2015,1
1/3/2015 7:00,51.597,33,1/3/2015,420,Saturday,weekend,yes,2015,1
